time_s,imp_IMP_MYUSM_L1,imp_IMP_MYUSM_R1,imp_IMP_MYUSM_L2,imp_IMP_MYUSM_R2,imp_IMP_FS_L1,imp_IMP_FS_R1,imp_IMP_FS_L2,imp_IMP_FS_R2,exp_AVy_L1,exp_AVy_R1,exp_AVy_L2,exp_AVy_R2,exp_AAy_L1,exp_AAy_R1,exp_AAy_L2,exp_AAy_R2,exp_Fz_L1,exp_Fz_R1,exp_Fz_L2,exp_Fz_R2,exp_CmpS_L1,exp_CmpS_R1,exp_CmpS_L2,exp_CmpS_R2,exp_Vz_Wc_L1,exp_Vz_Wc_R1,exp_Vz_Wc_L2,exp_Vz_Wc_R2,exp_X_L1,exp_X_R1,exp_X_L2,exp_X_R2,exp_Y_L1,exp_Y_R1,exp_Y_L2,exp_Y_R2,exp_Z_L1,exp_Z_R1,exp_Z_L2,exp_Z_R2,exp_Fx_L1,exp_Fx_R1,exp_Fx_L2,exp_Fx_R2,exp_Fy_L1,exp_Fy_R1,exp_Fy_L2,exp_Fy_R2,exp_My_US_L1,exp_My_US_R1,exp_My_US_L2,exp_My_US_R2,exp_Jnc_L1,exp_Jnc_R1,exp_Jnc_L2,exp_Jnc_R2,exp_JncR_L1,exp_JncR_R1,exp_JncR_L2,exp_JncR_R2,exp_Fs_L1,exp_Fs_R1,exp_Fs_L2,exp_Fs_R2,exp_Fd_L1,exp_Fd_R1,exp_Fd_L2,exp_Fd_R2,exp_FsExt_L1,exp_FsExt_R1,exp_FsExt_L2,exp_FsExt_R2,exp_CmpJStL1,exp_CmpJStR1,exp_CmpJStL2,exp_CmpJStR2,exp_CmpRStL1,exp_CmpRStR1,exp_CmpRStL2,exp_CmpRStR2,exp_Kappa_L1i,exp_Kappa_R1i,exp_Kappa_L2i,exp_Kappa_R2i,exp_Alpha_L1i,exp_Alpha_R1i,exp_Alpha_L2i,exp_Alpha_R2i,exp_CmpT_L1i,exp_CmpT_R1i,exp_CmpT_L2i,exp_CmpT_R2i,exp_RRE_L1i,exp_RRE_R1i,exp_RRE_L2i,exp_RRE_R2i,exp_Zgnd_L1i,exp_Zgnd_R1i,exp_Zgnd_L2i,exp_Zgnd_R2i,exp_MuX_L1i,exp_MuX_R1i,exp_MuX_L2i,exp_MuX_R2i,exp_Xo,exp_Vx,exp_Roll_E,exp_Pitch,exp_Yo,exp_Zo,exp_Yaw,exp_Ax,exp_Ay,exp_Az,exp_Az_SM,exp_AVx,exp_AVy,exp_AVz,exp_Roll_Rd,exp_Sta_Road
0.0005,0,0,0,0,0,0,0,0,28.2404208,28.2404208,28.2404208,28.2404208,2.72143551,-42.9199151,49.1423416,-13.8547644,5714.31335,1262.95405,950.137334,5351.57322,83.090257,168.135194,66.6255625,66.6255625,-0.0292321543,-0.0860030356,0.0882988886,0.0882988886,100.003504,100.004218,98.0787866,98.0785865,0.621033597,-0.622426833,0.620624389,-0.630316963,0.236905056,0.257167326,0.258536854,0.238674341,0.0714780014,0.0122230373,0.0131512069,0.0889137225,-62.1519293,-0.544190584,0.626304025,-59.3892689,0,0,0,0,40.0147256,80.0294513,42.2422097,42.2422097,0,0,0,0,4985.41542,5044.05582,4873.93224,4873.93224,0,0,0,0,0,0,0,0,40.0147256,80.0294513,42.2422097,42.2422097,40.0147256,80.0294513,42.2422097,42.2422097,6.06336047e-07,5.57298191e-07,8.12453376e-07,8.11600547e-07,-0.063094852,0.0604896444,-0.0730359179,0.072997575,25.9741516,5.74070023,4.31880607,24.3253328,263,263,263,263,-2.77555756e-17,-0,-0,-0,0.7,0.7,0.7,0.7,100,2.79999996,0.909715173,0.577354261,0,-0.0759748518,0,-2.16614596e-05,-0.00910596643,-0.0043542747,0.434110106,0,0,0,0.909668983,100
0.001,0,0,0,0,0,0,0,0,28.2534147,28.0354933,28.4750582,28.1742692,2.332057,-39.5575202,38.0118689,-13.720627,5714.29754,1261.58963,950.137443,5351.57333,83.090257,168.135194,66.6255625,66.6255625,0.0347412426,-0.217259578,-0.091343212,0.101392813,100.003894,100.004655,98.0791755,98.0789753,0.621033533,-0.622426771,0.620624326,-0.630317025,0.236905123,0.257173126,0.258536853,0.23867434,0.0714777583,0.0122091644,0.0131512085,0.0889137247,-62.1540778,-0.506258139,0.626303844,-59.3892691,0,0,0,0,40.0147256,80.0294513,42.2422097,42.2422097,16.4950179,-37.3144564,-53.0297272,0.504006322,4985.41542,5044.05582,4873.93224,4873.93224,100.504828,-225.211609,-889.622099,8.62096856,0,0,0,0,40.0147256,80.0294513,42.2422097,42.2422097,40.0147256,80.0294513,42.2422097,42.2422097,-0.00118134723,0.000566347676,0.0022858278,-0.00185693849,-0.0698148194,-0.0652581579,0.0248649043,0.0370095722,25.9740797,5.73449833,4.31880656,24.3253333,263,263,263,263,-0,5.55111512e-17,-0,-0,0.7,0.7,0.7,0.7,100.000389,2.79999959,0.909715173,0.577354261,-6.22160574e-08,-0.0759748523,0,-1.94987119e-05,-0.00910352774,-0.00445887834,0.352214311,0.00682234157,0.061138456,0.032259137,0.909668983,100.000389
0.0015,0,0,0,0,0,0,0,0,28.2636199,27.8546472,28.6299795,28.1090783,1.94813072,-36.671276,30.274623,-13.4375835,5711.35141,1267.7291,958.366692,5350.97253,83.0999282,168.113316,66.5875243,66.625924,0.091925517,-0.334225917,-0.212637633,0.113833188,100.004283,100.005039,98.0795629,98.0793642,0.621031684,-0.622432979,0.620631305,-0.630317423,0.236918449,0.257145399,0.25849967,0.238677071,-0.0297060607,0.0684503877,0.245344382,-0.0728241556,-62.1091028,-0.365712791,0.509287147,-59.347127,0,0,0,0,40.0270969,80.0014654,42.2024374,42.2425877,31.4526727,-70.6565838,-88.6103957,1.74566993,4985.99569,5043.39948,4831.00022,4873.99005,175.064342,-425.659159,-1451.99855,29.9342671,0,0,0,0,40.0270969,80.0014654,42.2024374,42.2425877,40.0270969,80.0014654,42.2024374,42.2425877,-0.00268413781,0.00086276847,0.00365848209,-0.0039262361,-0.0892656402,-0.165373138,0.0749778319,-0.000884640708,25.9606882,5.76240499,4.35621224,24.3226024,263,263,263,263,-2.77555756e-17,5.55111512e-17,-0,-2.77555756e-17,0.7,0.7,0.7,0.7,100.000777,2.79999927,0.909720541,0.577399725,3.44913356e-07,-0.075973966,2.49205833e-05,-1.60711853e-05,-0.00909523366,-0.00364741396,0.294708463,-0.00271922297,0.0941489838,0.0587781111,0.909674343,100.000777
0.002,0,0,0,0,0,0,0,0,28.272005,27.6864452,28.7560588,28.0455942,1.67760459,-34.3086948,24.548978,-13.1482199,5706.76225,1277.20617,969.40808,5350.00206,83.1151455,168.079182,66.5366434,66.6270557,0.146113026,-0.442654941,-0.313256421,0.124981604,100.004672,100.005424,98.0799498,98.0797531,0.621028725,-0.622442699,0.620640551,-0.630317934,0.236939211,0.257102576,0.258449782,0.238681482,-0.225856962,0.135660256,0.546006741,-0.360491187,-62.0222028,-0.157822434,0.368067429,-59.2730051,0,0,0,0,40.0465626,79.9578016,42.1492371,42.243771,45.73184,-101.601877,-118.050107,2.93861483,4986.90873,5042.37546,4774.7704,4874.17098,227.229304,-589.720752,-1835.85915,50.4844746,0,0,0,0,40.0465626,79.9578016,42.1492371,42.243771,40.0465626,79.9578016,42.1492371,42.243771,-0.0042752338,0.00105234458,0.00470914583,-0.0060202167,-0.11279418,-0.264210156,0.109397996,-0.0385268782,25.9398284,5.80548257,4.40640036,24.3181912,263,263,263,263,-0,-0,-5.55111512e-17,-0,0.7,0.7,0.7,0.7,100.001165,2.79999905,0.909717168,0.577454473,8.70145647e-07,-0.0759726142,6.18151434e-05,-2.36879811e-05,-0.00907814812,-0.00252579795,0.251809884,-0.0168850051,0.119325388,0.082732709,0.909670962,100.001165
0.0025,0,0,0,0,0,0,0,0,28.2793691,27.5282735,28.8596026,27.9835069,1.49533962,-32.4662669,20.1333519,-12.8322667,5700.56406,1289.85143,983.205144,5348.71107,83.1358115,168.033421,66.4731529,66.6287462,0.198170544,-0.544291245,-0.397815683,0.135157232,100.005061,100.005809,98.0803362,98.0801421,0.621024669,-0.622455747,0.620652022,-0.630318582,0.236967253,0.257045424,0.258387442,0.23868735,-0.51549435,0.212240629,0.913767483,-0.769958212,-61.893984,0.126018912,0.202201598,-59.1685171,0,0,0,0,40.0729984,79.8992643,42.0828521,42.2455385,59.5447872,-130.638167,-142.719764,4.10029906,4988.14869,5041.00263,4706.47757,4874.44118,263.775465,-714.430148,-2099.45903,70.5339176,0,0,0,0,40.0729984,79.8992643,42.0828521,42.2455385,40.0729984,79.8992643,42.0828521,42.2455385,-0.00592736285,0.00115756353,0.00551166268,-0.00812677556,-0.13975207,-0.362207923,0.131466169,-0.0760216763,25.9116548,5.86296107,4.46911429,24.3123231,263,263,263,263,-0,-0,-0,-0,0.7,0.7,0.7,0.7,100.001553,2.79999861,0.909705672,0.57751967,1.51064569e-06,-0.0759708312,0.000110213824,-4.19590679e-05,-0.00905182522,-0.00110470469,0.219657815,-0.0346973425,0.138602979,0.104698772,0.909659456,100.001553
0.003,0,0,0,0,0,0,0,0,28.2860737,27.3776569,28.9451908,27.9229916,1.38238047,-30.9862703,16.5096541,-12.5008387,5692.8085,1305.48536,999.337545,5347.12451,83.1617855,167.976683,66.3990057,66.6309847,0.248563527,-0.640739293,-0.469703232,0.144367567,100.005449,100.006194,98.0807222,98.0805312,0.621019526,-0.62247195,0.620665337,-0.630319363,0.237002343,0.256974753,0.25831455,0.23869456,-0.901310355,0.293789683,1.336783,-1.30144549,-61.7227588,0.486647457,0.0191969674,-59.0337384,0,0,0,0,40.106224,79.8266862,42.0053248,42.2478791,72.9921107,-158.223631,-163.631278,5.17227647,4989.70713,5039.3005,4629.27108,4874.79883,289.67968,-810.347644,-2287.98599,89.0421614,0,0,0,0,40.106224,79.8266862,42.0053248,42.2478791,40.106224,79.8266862,42.0053248,42.2478791,-0.00761988958,0.00119351446,0.0061154475,-0.010233279,-0.169550689,-0.460160426,0.143685112,-0.113614161,25.8764023,5.93402437,4.54244339,24.3051114,263,263,263,263,-0,-5.55111512e-17,-0,-0,0.7,0.7,0.7,0.7,100.001941,2.79999777,0.909684465,0.577592863,2.23589792e-06,-0.0759686543,0.000169227222,-7.22201534e-05,-0.00901552089,0.00057663671,0.194276315,-0.0555904782,0.153320783,0.125108535,0.909638238,100.001941
0.0035,0,0,0,0,0,0,0,0,28.2924044,27.2332416,29.0153676,27.8640958,1.31071364,-29.7558362,13.4012409,-12.1573536,5683.53859,1323.97942,1017.46971,5345.27185,83.1929442,167.909447,66.3157573,66.6337144,0.297577203,-0.73287145,-0.530813365,0.15269084,100.005838,100.00658,98.0811078,98.0809203,0.621013305,-0.622491183,0.620680191,-0.630320281,0.237044286,0.256891145,0.258232621,0.238702981,-1.38495366,0.376601536,1.80471581,-1.95443204,-61.5072111,0.925694607,-0.174593846,-58.8686238,0,0,0,0,40.1460819,79.740678,41.9182813,42.2507332,86.1373249,-184.606874,-181.349722,6.14347334,4991.57665,5037.2834,4545.74019,4875.23474,308.996381,-885.491236,-2426.61889,105.796067,0,0,0,0,40.1460819,79.740678,41.9182813,42.2507332,40.1460819,79.740678,41.9182813,42.2507332,-0.00933975276,0.00116751875,0.00654764258,-0.0123318604,-0.201867911,-0.558383877,0.147452954,-0.151421821,25.8342663,6.0180883,4.62486232,24.2966902,263,263,263,263,-0,5.55111512e-17,-0,-0,0.7,0.7,0.7,0.7,100.002329,2.79999632,0.909652141,0.577672118,3.02040224e-06,-0.0759661085,0.000238154394,-0.000115521764,-0.00896853616,0.00248887163,0.173479227,-0.0792392781,0.164213,0.144208928,0.909605903,100.002329
0.004,0,0,0,0,0,0,0,0,28.2984915,27.0941054,29.071933,27.8068687,1.25229771,-28.692642,10.6488274,-11.8040866,5672.79319,1345.21907,1037.30116,5343.17907,83.229182,167.832133,66.2247994,66.6368844,0.345339162,-0.821275898,-0.582485533,0.160197056,100.006227,100.006966,98.0814931,98.0813096,0.62100601,-0.622513335,0.620696311,-0.630321338,0.237092906,0.256795118,0.258143014,0.238712492,-1.96747663,0.457168654,2.30791185,-2.72808764,-61.2458427,1.44515699,-0.373246657,-58.6730715,0,0,0,0,40.1924368,79.6417788,41.8231768,42.2540478,99.0034697,-209.9564,-196.275116,7.01050548,4993.75092,5034.96398,4458.12898,4875.74066,325.011565,-945.904116,-2530.76233,120.72686,0,0,0,0,40.1924368,79.6417788,41.8231768,42.2540478,40.1924368,79.6417788,41.8231768,42.2540478,-0.0110769269,0.00108401006,0.00682661979,-0.0144161167,-0.236440929,-0.657067001,0.143804052,-0.189493239,25.7854236,6.11463216,4.71500528,24.2871776,263,263,263,263,-0,5.55111512e-17,-0,-2.77555756e-17,0.7,0.7,0.7,0.7,100.002717,2.79999401,0.909607398,0.577755717,3.84097193e-06,-0.0759632151,0.000316374956,-0.000172790401,-0.00891015892,0.00460575081,0.155960563,-0.105379142,0.17176854,0.162167254,0.909561149,100.002717
0.0045,0,0,0,0,0,0,0,0,28.3043314,26.9596463,29.1162065,27.7513517,1.19795394,-27.737752,8.15932885,-11.4425871,5660.60291,1369.10239,1058.56389,5340.87013,83.2703943,167.745112,66.127372,66.6404441,0.391851533,-0.906329379,-0.625697804,0.166956432,100.006615,100.007351,98.0818781,98.0816989,0.620997648,-0.622538308,0.620713453,-0.630322539,0.237148063,0.256687134,0.25804694,0.238722986,-2.64937218,0.532123869,2.83717805,-3.62126141,-60.9382147,2.0473479,-0.571252787,-58.4469688,0,0,0,0,40.2451551,79.5304632,41.7213079,42.2577698,111.580364,-234.38098,-208.700022,7.77696937,4996.22366,5032.35336,4368.32999,4876.30839,339.065567,-996.040563,-2610.04702,133.894904,0,0,0,0,40.2451551,79.5304632,41.7213079,42.2577698,40.2451551,79.5304632,41.7213079,42.2577698,-0.0128234524,0.00094543602,0.00696506619,-0.0164806757,-0.272827296,-0.756273185,0.133555478,-0.227810429,25.7300132,6.2231927,4.81165405,24.2766824,263,263,263,263,-0,-0,5.55111512e-17,-0,0.7,0.7,0.7,0.7,100.003105,2.79999059,0.90954905,0.57784212,4.67663966e-06,-0.0759599916,0.000403335167,-0.000244906898,-0.00883976239,0.00690363065,0.140837393,-0.133762255,0.176312938,0.179094198,0.909502791,100.003105
0.005,0,0,0,0,0,0,0,0,28.3099214,26.8294879,29.1492212,27.6975804,1.14832834,-26.8573133,5.8793641,-11.0733564,5647.0106,1395.53491,1081.01429,5338.36683,83.3164661,167.648725,66.0246008,66.6443463,0.437099393,-0.98825658,-0.661216044,0.173034544,100.007004,100.007737,98.0822629,98.0820884,0.62098823,-0.622566015,0.620731397,-0.63032389,0.237209564,0.25656762,0.257945498,0.238734363,-3.43066945,0.598121047,3.38351659,-4.63253007,-60.5829299,2.73474835,-0.763429345,-58.1902349,0,0,0,0,40.3040895,79.4071665,41.6138517,42.2618499,123.856336,-257.945349,-218.85368,8.44906091,4998.98796,5029.46176,4277.9206,4876.93028,351.488468,-1038.47645,-2670.59288,145.410678,0,0,0,0,40.3040895,79.4071665,41.6138517,42.2618499,40.3040895,79.4071665,41.6138517,42.2618499,-0.0145722757,0.000753365201,0.00697288885,-0.0185203233,-0.310888397,-0.855967665,0.117379413,-0.266334053,25.66823,6.34334049,4.91370133,24.2653038,263,263,263,263,-0,-0,-0,-0,0.7,0.7,0.7,0.7,100.003493,2.79998579,0.909476033,0.577929913,5.50826917e-06,-0.0759564517,0.000498524411,-0.000332684802,-0.00875666216,0.00936200745,0.127561116,-0.164168647,0.178120182,0.195068415,0.909429763,100.003493
