time_s,imp_IMP_MYUSM_L1,imp_IMP_MYUSM_R1,imp_IMP_MYUSM_L2,imp_IMP_MYUSM_R2,imp_IMP_FS_L1,imp_IMP_FS_R1,imp_IMP_FS_L2,imp_IMP_FS_R2,exp_AVy_L1,exp_AVy_R1,exp_AVy_L2,exp_AVy_R2,exp_Fz_L1,exp_Fz_R1,exp_Fz_L2,exp_Fz_R2,exp_CmpS_L1,exp_CmpS_R1,exp_CmpS_L2,exp_CmpS_R2,exp_Vz_Wc_L1,exp_Vz_Wc_R1,exp_Vz_Wc_L2,exp_Vz_Wc_R2,exp_Xo,exp_Vx,exp_Roll_E,exp_Pitch,exp_X_L1,exp_X_R1,exp_X_L2,exp_X_R2
0.0005,0,0,0,0,0,0,0,0,403.434583,403.434583,403.434583,403.434583,3483.16024,3483.16024,3161.31263,3161.31263,168.135194,168.135194,66.6255625,66.6255625,-0.813442393,-0.813442393,1.6767543,1.6767543,-5,40,0,1.17278274,-4.99211838,-4.99211838,-6.91783589,-6.91783589
0.001,0,0,0,0,0,0,0,0,403.336338,403.334316,403.517154,403.518665,3483.13324,3481.87632,3161.31263,3161.31263,168.135194,168.135194,66.6255625,66.6255625,-0.848052094,-0.847351362,1.59484907,1.59352708,-4.99444444,40.0000003,0,1.17278274,-4.98656183,-4.98651549,-6.91228034,-6.91228034
0.0015,0,0,0,0,0,0,0,0,403.248971,403.245139,403.561025,403.563563,3484.72172,3483.60291,3165.06045,3165.12121,168.128876,168.128629,66.6069638,66.6067391,-0.878419184,-0.879458472,1.54090146,1.53859717,-4.98888946,40.0000005,1.85494502e-06,1.17282827,-4.98100685,-4.9809627,-6.90672572,-6.90672573
0.002,0,0,0,0,0,0,0,0,403.166765,403.161276,403.589671,403.593031,3487.18097,3486.23639,3170.01132,3170.1576,168.119108,168.118468,66.5823673,66.5818402,-0.906381767,-0.908994649,1.49780452,1.49465758,-4.98333458,40.0000008,5.11512759e-06,1.17288357,-4.97545207,-4.97540966,-6.90117137,-6.90117139
0.0025,0,0,0,0,0,0,0,0,403.089589,403.082575,403.604214,403.608231,3490.46762,3489.73607,3176.0952,3176.35053,168.106062,168.104897,66.5521125,66.5512108,-0.931961094,-0.936035624,1.46477818,1.46090095,-4.97777982,40.0000009,9.8085394e-06,1.17294822,-4.96989749,-4.96985663,-6.89561727,-6.8956173
0.003,0,0,0,0,0,0,0,0,403.016882,403.008464,403.607662,403.61221,3494.51185,3494.02992,3183.01337,3183.39823,168.090016,168.088206,66.5176699,66.5163357,-0.955294119,-0.960726398,1.43964085,1.43511791,-4.9722251,40.0000005,1.59754485e-05,1.17301799,-4.96434306,-4.96430358,-6.89006334,-6.89006339
0.0035,0,0,0,0,0,0,0,0,402.94821,402.938496,403.602119,403.607094,3499.24668,3499.05174,3190.55638,3191.08907,168.071225,168.068658,66.480069,66.4782547,-0.976521924,-0.983224524,1.42089522,1.41579457,-4.96667041,39.9999995,2.3650687e-05,1.17309022,-4.95878866,-4.95875051,-6.88450952,-6.88450959
0.004,0,0,0,0,0,0,0,0,402.883204,402.87229,403.589267,403.594582,3504.61771,3504.73991,3198.55031,3199.24726,168.049926,168.046498,66.4401622,66.4378286,-0.995800316,-1.0036848,1.40735778,1.40173708,-4.96111571,39.9999974,3.28640195e-05,1.17316281,-4.95323446,-4.95319741,-6.87895578,-6.87895586
0.0045,0,0,0,0,0,0,0,0,402.821557,402.809527,403.570456,403.576032,3510.56657,3511.03719,3206.85319,3207.72922,168.026336,168.021955,66.3986446,66.3957603,-1.01326337,-1.02225573,1.39809719,1.3920076,-4.95556098,39.9999939,4.36414765e-05,1.17323417,-4.94768034,-4.94764428,-6.87340207,-6.87340217
0.005,0,0,0,0,0,0,0,0,402.763006,402.749934,403.546793,403.552558,3517.0416,3517.89048,3215.34775,3216.4162,168.00066,167.995237,66.3560879,66.3526284,-1.02904261,-1.03907671,1.39236211,1.38585045,-4.95000622,39.9999888,5.60061342e-05,1.17330311,-4.94212629,-4.94209112,-6.86784837,-6.8678485
0.0055,0,0,0,0,0,0,0,0,402.70733,402.693282,403.519203,403.525091,3523.99489,3525.25052,3223.93745,3225.21028,167.973084,167.966538,66.3129626,66.3089097,-1.04326021,-1.05427678,1.38953534,1.3826451,-4.9444514,39.9999816,6.99785796e-05,1.17336872,-4.93657229,-4.93653794,-6.86229466,-6.86229481
0.006,0,0,0,0,0,0,0,0,402.654338,402.639373,403.488479,403.494429,3531.38193,3533.07158,3232.54253,3234.03043,167.94378,167.936036,66.2696549,66.2649964,-1.05602858,-1.06797419,1.38909903,1.38187073,-4.93889653,39.9999719,8.55771666e-05,1.17343035,-4.93101833,-4.93098473,-6.85674092,-6.8567411
0.0065,0,0,0,0,0,0,0,0,402.603871,402.58804,403.455305,403.46126,3539.15847,3541.31119,3241.09798,3242.81041,167.91291,167.903897,66.2264793,66.2212086,-1.06744486,-1.08027655,1.39061422,1.38308506,-4.93334159,39.9999595,0.00010281821,1.17348756,-4.9254643,-4.92543149,-6.85118715,-6.85118734
0.007,0,0,0,0,0,0,0,0,402.555791,402.539142,403.420278,403.426189,3547.29188,3549.92984,3249.55088,3251.49623,167.88062,167.870273,66.1836893,66.1778047,-1.07761397,-1.0912814,1.39370415,1.38590775,-4.92778658,39.9999439,0.000121716021,1.17354007,-4.9199104,-4.91987821,-6.84563332,-6.84563354
0.0075,0,0,0,0,0,0,0,0,402.509983,402.492558,403.383922,403.389743,3555.74338,3558.89068,3257.85925,3260.04495,167.84705,167.835307,66.1414858,66.1349901,-1.08661497,-1.10107689,1.39804615,1.39001234,-4.92223152,39.9999248,0.000142282981,1.17358773,-4.91435651,-4.91432492,-6.84007943,-6.84007968
0.008,0,0,0,0,0,0,0,0,402.466348,402.448188,403.346693,403.352388,3564.47944,3568.15925,3265.99,3268.42263,167.812327,167.799131,66.1000244,66.0929245,-1.09452498,-1.10974263,1.40336289,1.3951174,-4.91667638,39.9999018,0.000164529684,1.17363055,-4.90880265,-4.90877159,-6.83452548,-6.83452575
0.0085,0,0,0,0,0,0,0,0,402.424808,402.40595,403.308992,403.314529,3573.46868,3577.7033,3273.91813,3276.60353,167.776571,167.761868,66.0594225,66.0517282,-1.10141393,-1.11734999,1.40941913,1.40098344,-4.91112118,39.9998746,0.000188464985,1.17366859,-4.90324879,-4.90321824,-6.82897147,-6.82897176
0.009,0,0,0,0,0,0,0,0,402.385294,402.365775,403.271163,403.276518,3582.68168,3587.4925,3281.62501,3284.56845,167.739892,167.723632,66.0197643,66.0114885,-1.10734523,-1.12396267,1.41601565,1.40740711,-4.90556593,39.9998428,0.000214096254,1.17370202,-4.89769494,-4.89766487,-6.82341739,-6.82341771
0.0095,0,0,0,0,0,0,0,0,402.347753,402.327612,403.233503,403.238658,3592.0876,3597.49824,3289.0978,3292.30409,167.702396,167.684533,65.9811073,65.9722647,-1.11237006,-1.12963834,1.42298731,1.41421936,-4.90001061,39.9998062,0.000241429655,1.17373106,-4.89214098,-4.89211147,-6.81786325,-6.81786359
0.01,0,0,0,0,0,0,0,0,402.312142,402.291415,403.196267,403.201208,3601.66667,3607.69351,3296.32801,3299.80163,167.664179,167.644672,65.9434861,65.9340932,-1.116553,-1.13442967,1.43019766,1.42128015,-4.89445525,39.9997643,0.000270470061,1.173756,-4.88658715,-4.88655806,-6.81230905,-6.81230941
