time_s,imp_IMP_MYUSM_L1,imp_IMP_MYUSM_R1,imp_IMP_MYUSM_L2,imp_IMP_MYUSM_R2,imp_IMP_FS_L1,imp_IMP_FS_R1,imp_IMP_FS_L2,imp_IMP_FS_R2,exp_AVy_L1,exp_AVy_R1,exp_AVy_L2,exp_AVy_R2,exp_Fz_L1,exp_Fz_R1,exp_Fz_L2,exp_Fz_R2,exp_CmpS_L1,exp_CmpS_R1,exp_CmpS_L2,exp_CmpS_R2,exp_Vz_Wc_L1,exp_Vz_Wc_R1,exp_Vz_Wc_L2,exp_Vz_Wc_R2,exp_Xo,exp_Vx,exp_Roll_E,exp_Pitch,exp_X_L1,exp_X_R1,exp_X_L2,exp_X_R2
0.0005,0,0,0,0,0,0,0,0,13.3823976,13.3823976,13.3823976,13.3823976,22422.4921,22419.9498,21226.8338,21226.8338,53.5908277,53.5908277,50.6048285,50.6048285,-0.0129103055,-0.0127848752,-0.0128475864,-0.0128475864,100,2.8,0,-0.262898235,99.9980207,99.9980561,96.09799,96.09799
0.001,0,0,0,0,0,0,0,0,13.3685766,13.3685781,13.3693109,13.3693109,22422.1556,22404.4155,21226.8338,21226.8338,53.5908243,53.5908243,50.6048285,50.6048285,-0.0137153525,-0.01294294,-0.0127752237,-0.0127750769,100.000389,2.79999963,0,-0.262898235,99.9984143,99.998661,96.0983789,96.0983789
0.0015,0,0,0,0,0,0,0,0,13.3547574,13.3547776,13.3562255,13.3562255,22422.1276,22404.4212,21226.8224,21226.8224,53.5908317,53.5908224,50.6048565,50.6048566,-0.0133657962,-0.0135799536,-0.012723703,-0.012722133,100.000778,2.79999926,5.60595366e-10,-0.262898606,99.9988033,99.9990497,96.0987678,96.0987678
0.002,0,0,0,0,0,0,0,0,13.3413807,13.3413916,13.3435574,13.3435574,22422.0603,22404.5304,21226.8068,21226.8066,53.5908405,53.5907324,50.604899,50.6048993,-0.013091106,-0.0138984109,-0.0126841666,-0.0126819614,100.001167,2.79999651,6.77583557e-09,-0.262899228,99.9991922,99.9994385,96.0991567,96.0991567
0.0025,0,0,0,0,0,0,0,0,13.3285956,13.3285977,13.3314462,13.3314471,22421.9899,22404.6658,21226.7877,21226.7872,53.5908557,53.5906243,50.6049539,50.6049545,-0.0128157422,-0.014175032,-0.0126556543,-0.0126529978,100.001556,2.79999059,1.76767935e-08,-0.262900071,99.9995808,99.9998271,96.0995456,96.0995456
0.003,0,0,0,0,0,0,0,0,13.316582,13.3165831,13.320062,13.3200644,22421.8927,22404.8384,21226.7662,21226.7654,53.5908766,53.5904885,50.6050192,50.6050202,-0.0125406155,-0.0144030031,-0.0126372309,-0.0126343511,100.001944,2.79998052,3.38413398e-08,-0.262901124,99.9999695,100.000216,96.0999345,96.0999345
0.0035,0,0,0,0,0,0,0,0,13.30551,13.3055146,13.3095648,13.3095698,22421.7767,22405.0435,21226.7433,21226.7421,53.5909037,53.5903292,50.605093,50.6050945,-0.0122690357,-0.0145833532,-0.0126277983,-0.0126249301,100.002333,2.79996538,5.60248801e-08,-0.262902368,100.000358,100.000604,96.1003234,96.1003234
0.004,0,0,0,0,0,0,0,0,13.2955346,13.2955458,13.3001007,13.3001094,22421.6432,22405.2768,21226.7199,21226.7184,53.5909375,53.59015,50.6051733,50.6051755,-0.0120027189,-0.0147181401,-0.012626235,-0.0126236113,100.002722,2.79994436,8.48374874e-08,-0.262903782,100.000747,100.000993,96.1007123,96.1007123
0.0045,0,0,0,0,0,0,0,0,13.2867937,13.2868145,13.2917997,13.2918135,22421.4935,22405.5343,21226.6967,21226.6949,53.5909784,53.5899545,50.6052584,50.6052613,-0.0117434938,-0.0148097232,-0.012631399,-0.0126292492,100.003111,2.79991672,1.20849859e-07,-0.262905343,100.001135,100.001381,96.1011012,96.1011012
0.005,0,0,0,0,0,0,0,0,13.2794062,13.2794393,13.2847741,13.2847942,22421.329,22405.8121,21226.6744,21226.6724,53.5910265,53.589746,50.6053464,50.6053502,-0.0114932,-0.0148608252,-0.0126421446,-0.0126406922,100.0035,2.79988182,1.64589908e-07,-0.262907027,100.001524,100.001769,96.1014901,96.1014901
